index,name,demangled_name,version,address,size,type,binding,visibility,section,defined
78,_Z20hsuDgateQBE7Bm2aaHDBRK10C8THgaTQxF,hsuDgateQBE7Bm2aaHDB(C8THgaTQxF const&),,0x1b63fc,48,FUNC,GLOBAL,DEFAULT,9,True
79,_ZN10uzvDgataRB10AceLgadzlIERK10C8THgaTQxF,uzvDgataRB::AceLgadzlI(C8THgaTQxF const&),,0x1b16a0,40,FUNC,GLOBAL,DEFAULT,9,True
80,_ZN10J0CfgbmrLh10m6pngaXzjoERK10CanTfaz6bZ,J0CfgbmrLh::m6pngaXzjo(CanTfaz6bZ const&),,0x16462c,948,FUNC,GLOBAL,DEFAULT,9,True
81,_ZN20irqhGaERgbPropertiesC1Ev,irqhGaERgbProperties::irqhGaERgbProperties(),,0x2470f8,156,FUNC,GLOBAL,DEFAULT,9,True
82,_Z10x_WogaefBpRK10CanTfaz6bZP10vuuHgangcF,"x_WogaefBp(CanTfaz6bZ const&, vuuHgangcF*)",,0x1a5094,48,FUNC,GLOBAL,DEFAULT,9,True
83,_ZN20k1h4JaIMdnPropertiesC2Ev,k1h4JaIMdnProperties::k1h4JaIMdnProperties(),,0x248968,156,FUNC,GLOBAL,DEFAULT,9,True
84,_ZN20yO8PSaf1tKPropertiesC2Ev,yO8PSaf1tKProperties::yO8PSaf1tKProperties(),,0x1a512c,156,FUNC,GLOBAL,DEFAULT,9,True
85,_ZN10ZOPBLaGcrF10wMcdvaxmJSERK10C8THgaTQxFi,"ZOPBLaGcrF::wMcdvaxmJS(C8THgaTQxF const&, int)",,0x16b61c,208,FUNC,GLOBAL,DEFAULT,9,True
86,tt_cmap2_get_info,tt_cmap2_get_info,,0x261a44,40,FUNC,GLOBAL,DEFAULT,9,True
87,_ZN10NVxhJah9mI10tIIEga1dSCEffff,"NVxhJah9mI::tIIEga1dSC(float, float, float, float)",,0x10b7bc,888,FUNC,GLOBAL,DEFAULT,9,True
88,fopen@LIBC (2),fopen,LIBC (2),0x0,0,FUNC,GLOBAL,DEFAULT,UND,False
89,_ZN10W6NzgawMJy10rnrCLaqEXFERK10C8THgaTQxFffibP10vuuHgangcF,"W6NzgawMJy::rnrCLaqEXF(C8THgaTQxF const&, float, float, int, bool, vuuHgangcF*)",,0x18066c,436,FUNC,GLOBAL,DEFAULT,9,True
90,_ZN10w6qzgacqqy10REidya8iOoEdd,"w6qzgacqqy::REidya8iOo(double, double)",,0x1faad0,580,FUNC,GLOBAL,DEFAULT,9,True
91,_ZN10f6WHgaQkAF10iwUvgaL9rvEP10bNZvga2AwvRK10C8THgaTQxFS4_j,"f6WHgaQkAF::iwUvgaL9rv(bNZvga2Awv*, C8THgaTQxF const&, C8THgaTQxF const&, unsigned int)",,0xee2d4,492,FUNC,GLOBAL,DEFAULT,9,True
92,des3_ecb_decrypt,des3_ecb_decrypt,,0x2545a8,324,FUNC,GLOBAL,DEFAULT,9,True
93,find_cipher_id,find_cipher_id,,0x2550f4,92,FUNC,GLOBAL,DEFAULT,9,True
94,_ZN10D2x4gaXfrZ10AYARgaBIHNE,D2x4gaXfrZ::AYARgaBIHN,,0x39566c,4,OBJECT,GLOBAL,DEFAULT,18,True
95,_ZN10G0gxgajWBw10DGtmMaBAwiEv,G0gxgajWBw::DGtmMaBAwi(),,0xe7778,8,FUNC,WEAK,DEFAULT,9,True
96,_Z10YtsC2a_zYOv,YtsC2a_zYO(),,0x1d00d8,48,FUNC,GLOBAL,DEFAULT,9,True
97,qVNykbVBTU,qVNykbVBTU,,0x3a4e68,8,OBJECT,GLOBAL,DEFAULT,19,True
98,_ZN10W6NzgawMJy10jtrULalJ5UEv,W6NzgawMJy::jtrULalJ5U(),,0x1829c4,108,FUNC,GLOBAL,DEFAULT,9,True
99,_Z10jv8XYa1LcUv,jv8XYa1LcU(),,0x20f1b8,576,FUNC,GLOBAL,DEFAULT,9,True
100,DGifGetPixel,DGifGetPixel,,0x2bb770,220,FUNC,GLOBAL,DEFAULT,9,True
101,_ZN10uK2SHaPVVw4loadEv,uK2SHaPVVw::load(),,0x20e084,292,FUNC,GLOBAL,DEFAULT,9,True
102,_ZN10AS80gaE4zW10stV3gauYUYEiRK10C8THgaTQxF,"AS80gaE4zW::stV3gauYUY(int, C8THgaTQxF const&)",,0x1d70e8,88,FUNC,GLOBAL,DEFAULT,9,True
103,_ZTV20Q8n_Fa6V5WProperties,vtable for Q8n_Fa6V5WProperties,,0x378d40,88,OBJECT,WEAK,DEFAULT,15,True
104,_ZN10uq9xgaUxlx10omnJcbrgNjE,uq9xgaUxlx::omnJcbrgNj,,0x3a4bd8,1,OBJECT,GLOBAL,DEFAULT,19,True
105,gettimeofday@LIBC (2),gettimeofday,LIBC (2),0x0,0,FUNC,GLOBAL,DEFAULT,UND,False
106,_ZN6CyaInt21CyaSSL_session_reusedEPNS_6CYASSLE,CyaInt::CyaSSL_session_reused(CyaInt::CYASSL*),,0x2d382c,8,FUNC,GLOBAL,DEFAULT,9,True
107,_ZTV10reub2aL2gs,vtable for reub2aL2gs,,0x37cf20,48,OBJECT,WEAK,DEFAULT,15,True
108,_ZN10zW2NgaU4IK5clearEv,zW2NgaU4IK::clear(),,0x21b924,240,FUNC,GLOBAL,DEFAULT,9,True
109,_ZN20imqXgalNBSPropertiesC1Ev,imqXgalNBSProperties::imqXgalNBSProperties(),,0x1e47a0,176,FUNC,GLOBAL,DEFAULT,9,True
110,_ZThn16_N20_k_Bgam3zAPropertiesD1Ev,non-virtual thunk to _k_Bgam3zAProperties::~_k_Bgam3zAProperties(),,0x1c9b3c,8,FUNC,WEAK,DEFAULT,9,True
111,_ZN10KKhLga4xoI9addObjectEP10J7zOgaf09KRK10CanTfaz6bZ,"KKhLga4xoI::addObject(J7zOgaf09K*, CanTfaz6bZ const&)",,0xeb934,48,FUNC,GLOBAL,DEFAULT,9,True
112,_ZN10_WevgakbUu10ZWKYgaj6ITEv,_WevgakbUu::ZWKYgaj6IT(),,0x107cf4,176,FUNC,GLOBAL,DEFAULT,9,True
