ea,kind,original,demangled,alias
949612,function,_ZN6TFiles18removeGifExtensionERK7TString,TFiles::removeGifExtension(TString const&),TFiles_removeGifExtension_TString_const
949744,function,_ZN6TFiles13stripFileNameERK7TString,TFiles::stripFileName(TString const&),TFiles_stripFileName_TString_const
949976,function,_ZN6TFiles14stripExtensionERK7TString,TFiles::stripExtension(TString const&),TFiles_stripExtension_TString_const
950208,function,_ZN6TFiles12getGifNumberERK7TStringS2_,"TFiles::getGifNumber(TString const&,TString const&)",TFiles_getGifNumber_TString_const_TString_const
950408,function,_ZN6TFiles28convertAnyFilePathSeparatorsERK7TString,TFiles::convertAnyFilePathSeparators(TString const&),TFiles_convertAnyFilePathSeparators_TString_const
950556,function,_ZN6TFiles7hasPathERK7TString,TFiles::hasPath(TString const&),TFiles_hasPath_TString_const
950792,function,_ZN6TFiles15hasAbsolutePathERK7TString,TFiles::hasAbsolutePath(TString const&),TFiles_hasAbsolutePath_TString_const
951096,function,_Z21TFiles_initStaticVarsv,TFiles_initStaticVars(void),TFiles_initStaticVars_void
951316,function,_ZN6TFiles16getRegistryValueERK7TString,TFiles::getRegistryValue(TString const&),TFiles_getRegistryValue_TString_const
951504,function,_ZN6TFiles16setRegistryValueERK7TStringS2_,"TFiles::setRegistryValue(TString const&,TString const&)",TFiles_setRegistryValue_TString_const_TString_const
951720,function,_ZN13TFileNameScan14readLevelPathsERK7TString,TFileNameScan::readLevelPaths(TString const&),TFileNameScan_readLevelPaths_TString_const
952596,function,_ZN13TFileNameScan20clearResourceObjectsEv,TFileNameScan::clearResourceObjects(void),TFileNameScan_clearResourceObjects_void
952704,function,_ZN13TFileNameScan14scanUserFolderEv,TFileNameScan::scanUserFolder(void),TFileNameScan_scanUserFolder_void
953260,function,_ZN13TFileNameScan15scanZipResourceEP15TResourceObject,TFileNameScan::scanZipResource(TResourceObject *),TFileNameScan_scanZipResource_TResourceObject
954648,function,_ZN13TFileNameScan15setAllCheckUserEv,TFileNameScan::setAllCheckUser(void),TFileNameScan_setAllCheckUser_void
954908,function,_Z28TFileNameScan_initStaticVarsv,TFileNameScan_initStaticVars(void),TFileNameScan_initStaticVars_void
954928,function,_ZN13TFileNameScan13loadCacheFileERK7TStringS2_b,"TFileNameScan::loadCacheFile(TString const&,TString const&,bool)",TFileNameScan_loadCacheFile_TString_const_TString_const_bool
956040,function,_ZN13TFileNameScan14loadCacheFile2EP7TStreamRK7TStringb,"TFileNameScan::loadCacheFile2(TStream *,TString const&,bool)",TFileNameScan_loadCacheFile2_TStream_TString_const_bool
957056,function,_ZN13TFileNameScan14scanDataFolderEv,TFileNameScan::scanDataFolder(void),TFileNameScan_scanDataFolder_void
957708,function,_ZN16TGameEnvironment16isPremiumVersionEv,TGameEnvironment::isPremiumVersion(void),TGameEnvironment_isPremiumVersion_void
957716,function,_ZN16TGameEnvironment13isDemoVersionEv,TGameEnvironment::isDemoVersion(void),TGameEnvironment_isDemoVersion_void
957796,function,_ZN16TGameEnvironment16getPremiumOptionEv,TGameEnvironment::getPremiumOption(void),TGameEnvironment_getPremiumOption_void
957900,function,_ZN16TGameEnvironment24getApplicationIdentifierEv,TGameEnvironment::getApplicationIdentifier(void),TGameEnvironment_getApplicationIdentifier_void
957952,function,_Z31TGameEnvironment_initStaticVarsv,TGameEnvironment_initStaticVars(void),TGameEnvironment_initStaticVars_void
958236,function,_Z37TGameEnvironment_initStaticScriptVarsv,TGameEnvironment_initStaticScriptVars(void),TGameEnvironment_initStaticScriptVars_void
