2.2_name,2.2_address,size,byte_sha256,family,1.8_ida_name,1.8_raw_symbol,1.8_demangled_symbol,1.8_address,address_delta_2.2_minus_1.8,1.8_name_origin,1.8_source_kind
_ZThn16_N10c76BgaJBGAD0Ev,0x22cce4,8,7d5ded997cd7e774b55c00498cac1622219161e4bd735db90610557333ade225,other,non_virtual_thunk_to_TProperties_TProperties__2,_ZThn16_N11TPropertiesD0Ev,`non-virtual thunk to'TProperties::~TProperties(),0x224660,0x8684,elf_symbol,function
adler32,0x297000,1452,a46860a829efcb2b2bde99b7e6a880481416db78e7700d5747112fcf41ab5465,zlib,adler32,,,0x289b90,0xd470,ida_named_non_elf,
compressBound,0x28cc40,20,9286d85150dbd16c997422a2f53968291879cf8228515b847f228bdda637acd6,other,compressBound,,,0x27f7d0,0xd470,ida_named_non_elf,
crc32_combine,0x28d19c,4,fdefa1b97a545ba429379a091e447d4d0584fb35347f0cfccf56859fdeb76308,zlib,crc32_combine,,,0x27fd2c,0xd470,ida_named_non_elf,
deflateBound,0x28f01c,264,20045c89fd37d425dae170e149af3c86c3ab9bb5c2b53080d6821c3684e13221,zlib,deflateBound,,,0x281bac,0xd470,ida_named_non_elf,
deflateEnd,0x290de8,244,24e5eb6cc96d93c7acd42fa0831f0ed5ec5474760f48f2f02ac4fc4dd4c2b426,zlib,deflateEnd,,,0x283978,0xd470,ida_named_non_elf,
deflatePrime,0x28efbc,52,420cad240f8dc8085c2e8efb9feafd9326fc526b9a2be230d83ec97397673a77,zlib,deflatePrime,,,0x281b4c,0xd470,ida_named_non_elf,
deflateSetHeader,0x28ef90,44,443bc503ac94aba7d5bf02713355713cddb96e15cde56bf4573251829c4cd894,zlib,deflateSetHeader,,,0x281b20,0xd470,ida_named_non_elf,
deflateTune,0x28eff0,44,4e163a20e0ccada6b07df042ec73eb6a9bd7ae517e781a1460bad140b34c075f,zlib,deflateTune,,,0x281b80,0xd470,ida_named_non_elf,
ft_bitmap_glyph_bbox,0x27fde0,68,75c7602a43d2a0a7986b08def0a99894471a5a3b6da718429550d722768364b3,FreeType/TrueType,ft_bitmap_glyph_bbox,,,0x272970,0xd470,ida_named_non_elf,
ft_corner_is_flat,0x25980c,88,030f703fae1533067e8cba52ee7ad8240f71b1ec000e5239fecfcc41c43db063,FreeType/TrueType,ft_corner_is_flat,,,0x24c39c,0xd470,ida_named_non_elf,
ft_corner_orientation,0x259728,228,fc610d20c3130b81cf60cc20b9c85601d0f59775bcb82caac7b43ac2124a90a5,FreeType/TrueType,ft_corner_orientation,,,0x24c2b8,0xd470,ida_named_non_elf,
ft_highpow2,0x261330,24,773df2c16dbc30d601cc128850260ef2695a2b15163b5160c51a505747f553f2,FreeType/TrueType,ft_highpow2,,,0x253ec0,0xd470,ida_named_non_elf,
ft_mem_free,0x25dd60,32,44467de739e576b9c4ccf178b6649b008e43ced85d22726273a43eff44eabc1d,FreeType/TrueType,ft_mem_free,,,0x2508f0,0xd470,ida_named_non_elf,
ft_mem_qalloc,0x25dc70,88,63aa652c378ea507d27ee457c66d4881605f3d28801afa391e90be0268942d32,FreeType/TrueType,ft_mem_qalloc,,,0x250800,0xd470,ida_named_non_elf,
ft_mem_strcpyn,0x25f694,96,956b1b46b8a1033649010ae403b0b93dab470fd428f43fed201ff9ebcf32b0b7,FreeType/TrueType,ft_mem_strcpyn,,,0x252224,0xd470,ida_named_non_elf,
ft_module_get_service,0x25b240,168,4befe9de5473cb6518566bf6aa587105f47e4b8e8fbc5684151288c557c66e6f,FreeType/TrueType,ft_module_get_service,,,0x24ddd0,0xd470,ida_named_non_elf,
ft_outline_glyph_prepare,0x27fe24,60,108f2f69a762f41c383841b74eb826f9d87276e014d25c56d44c4b9644df2be7,FreeType/TrueType,ft_outline_glyph_prepare,,,0x2729b4,0xd470,ida_named_non_elf,
ft_synthesize_vertical_metrics,0x259ce8,76,a62370f1b1050116dae9f5d8c1451d63def078ac5b6c81b835b4ab363cd43e77,FreeType/TrueType,ft_synthesize_vertical_metrics,,,0x24c878,0xd470,ida_named_non_elf,
ft_validator_init,0x259ac4,20,3e7f8009ed51980053c394417f1ec5d0d9898cea379918b28e21b885fbc36d16,FreeType/TrueType,ft_validator_init,,,0x24c654,0xd470,ida_named_non_elf,
ft_validator_run,0x259ad8,8,be50aaf7eeb0ede41632ffde19308769d4eb41c225eaf9f9ebd355c3deb57089,FreeType/TrueType,ft_validator_run,,,0x24c668,0xd470,ida_named_non_elf,
inflateEnd,0x293738,96,16173197a893fa82911ba6e2fc4bed75671a29cfe25395562a93f1504d3ae969,zlib,inflateEnd,,,0x2862c8,0xd470,ida_named_non_elf,
inflateGetHeader,0x2939c8,44,30bd02ed673d632a97e04329b8a61a930d1e9182bfe79b31e693fd908b2aaf62,zlib,inflateGetHeader,,,0x286558,0xd470,ida_named_non_elf,
inflateMark,0x293e44,92,d4008022b331938f70961b3211f0fb478a59307c0779863d2f2e3f7c6502bd40,zlib,inflateMark,,,0x2869d4,0xd470,ida_named_non_elf,
inflatePrime,0x29159c,108,6f2d527fdded1926ede90debcf5455bd29a4c4adc044c3c988817142e190f953,zlib,inflatePrime,,,0x28412c,0xd470,ida_named_non_elf,
inflateReset,0x291358,124,39b17ac0e1a62b510145efa8dc36ba3bec84fa47cb5c2254c51320c80acc5816,zlib,inflateReset,,,0x283ee8,0xd470,ida_named_non_elf,
inflateSyncPoint,0x293c88,56,48a88ad5a5c05cc20fe1b7aab6cfbd08e6cae39f19e4bfd582617fca758ce7b5,zlib,inflateSyncPoint,,,0x286818,0xd470,ida_named_non_elf,
inflateUndermine,0x293e20,36,ccdceec60b30212bf2f0b6b15a8d7df334dc7156d5beb4f4b581b6d4a3c1bb86,zlib,inflateUndermine,,,0x2869b0,0xd470,ida_named_non_elf,
jpeg_abort,0x2a9a50,84,263e61a35d4e310ae7c815dff981df61ffaa409c7754520aedba498380ef73ce,JPEG-like,jpeg_abort,,,0x29c5e0,0xd470,ida_named_non_elf,
jpeg_alloc_huff_table,0x2a9b00,44,bcfa098469037eea80b9be68620041e283f0661b44627f06757c85b806dbdb6a,JPEG-like,jpeg_alloc_huff_table,,,0x29c690,0xd470,ida_named_non_elf,
jpeg_alloc_quant_table,0x2a9ad4,44,af2807f3211cd5b817d018afbedd83d13a7b11e03f71f44a9214f3a6f97ffdf5,JPEG-like,jpeg_alloc_quant_table,,,0x29c664,0xd470,ida_named_non_elf,
jpeg_destroy,0x2a9aa4,48,35c7de7a6b9263246d4fb8432cf5c8659ad90fb9b756e7e2faf59fc15d3fde49,JPEG-like,jpeg_destroy,,,0x29c634,0xd470,ida_named_non_elf,
jpeg_finish_output,0x298da8,188,1949b19f1540f2a6d00cad6ef5688d2c0b95c0389955db4ef9f1ad715356ce61,JPEG-like,jpeg_finish_output,,,0x28b938,0xd470,ida_named_non_elf,
jpeg_has_multiple_scans,0x2986dc,76,bf28aac2e2becc980fe3f4267523c8aad232e151bf43654aa756293fa2c9d31a,JPEG-like,jpeg_has_multiple_scans,,,0x28b26c,0xd470,ida_named_non_elf,
jpeg_input_complete,0x298690,76,1ae6f62a9860f32fcd9449ff85e24cb1c42309325aa0946481e495f51ff1b79b,JPEG-like,jpeg_input_complete,,,0x28b220,0xd470,ida_named_non_elf,
jpeg_new_colormap,0x29cc8c,164,59e33f8dc6352778cbd10183cbdba69049e049175fab994e4000d8da04d86671,JPEG-like,jpeg_new_colormap,,,0x28f81c,0xd470,ida_named_non_elf,
jpeg_quality_scaling,0x2a8dd4,72,b24cad00ccda0053bbce073d4b1b1891dd8d3fc38e2d7db341a2020209f7ee84,JPEG-like,jpeg_quality_scaling,,,0x29b964,0xd470,ida_named_non_elf,
jpeg_read_raw_data,0x298afc,308,7f79310ab8f191ccead1465e78906ca66c68e6ba039b4b56445833e6a129425c,JPEG-like,jpeg_read_raw_data,,,0x28b68c,0xd470,ida_named_non_elf,
jpeg_read_scanlines,0x298a0c,240,37cf519f60b967c26693905feff4d8400664cdd3f1f2430e6cb74f5b6ad88434,JPEG-like,jpeg_read_scanlines,,,0x28b59c,0xd470,ida_named_non_elf,
jpeg_resync_to_restart,0x29c198,768,19c3a6079db98f3e64533929527198022b572af7b0ccff761afdc4dd580142ef,JPEG-like,jpeg_resync_to_restart,,,0x28ed28,0xd470,ida_named_non_elf,
jpeg_set_marker_processor,0x29c6a8,108,16d394a880f7fa29d632fb76e8e049c85863fcc61826c05c25a054b23aa4598d,JPEG-like,jpeg_set_marker_processor,,,0x28f238,0xd470,ida_named_non_elf,
jpeg_simple_progression,0x2a95ec,1124,1c49e0b984afb708e39ca60fa6426433811480bf547f6d7165a3c03fc8453f28,JPEG-like,jpeg_simple_progression,,,0x29c17c,0xd470,ida_named_non_elf,
jpeg_start_output,0x298c30,376,54491ab7ff39bd489d2ac23c9d5a396370682aa64ad9e9b028dbf2c3fce85e08,JPEG-like,jpeg_start_output,,,0x28b7c0,0xd470,ida_named_non_elf,
jpeg_suppress_tables,0x2a546c,148,c4aa003788627c7d2d6109639a6ed5f673bc51ec8c8b7c48a8e7eecb30a5737e,JPEG-like,jpeg_suppress_tables,,,0x297ffc,0xd470,ida_named_non_elf,
jpeg_write_m_byte,0x2a578c,32,876690b0a61c99b43c58c8f7ecda59c85a9cb93800e7d48324ebed60157a0ee3,JPEG-like,jpeg_write_m_byte,,,0x29831c,0xd470,ida_named_non_elf,
jpeg_write_m_header,0x2a571c,112,b013a05426e619144c3461db40fbc0af37ae5baf0ab229f044455f92c24d5caf,JPEG-like,jpeg_write_m_header,,,0x2982ac,0xd470,ida_named_non_elf,
jpeg_write_marker,0x2a5668,180,11c7e6e51d420dacd3f069199bb45b48551d939a7d5f9b20fe8f2eb0787688bb,JPEG-like,jpeg_write_marker,,,0x2981f8,0xd470,ida_named_non_elf,
jpeg_write_raw_data,0x2a59e8,328,ccdc74f6b40b94f7cef4044a9a8817616bd766b547c3622d7f05ae7b6295ebdd,JPEG-like,jpeg_write_raw_data,,,0x298578,0xd470,ida_named_non_elf,
jpeg_write_scanlines,0x2a58e4,260,82e562d6ba9362b3b4548c00ec7d62a9155d737397492439989f9466a7268656,JPEG-like,jpeg_write_scanlines,,,0x298474,0xd470,ida_named_non_elf,
tt_cmap0_char_index,0x26186c,28,dd33615b4476b08ed2f9b2bcfc34da7c4c44b7e443865f84c77f1e6475d04c36,FreeType/TrueType,tt_cmap0_char_index,,,0x2543fc,0xd470,ida_named_non_elf,
tt_cmap0_char_next,0x261888,64,c460af6276958bcbdff4c2896eaaff6e2d221f20d0100942a292df6a55d4170c,FreeType/TrueType,tt_cmap0_char_next,,,0x254418,0xd470,ida_named_non_elf,
tt_cmap0_get_info,0x2618c8,36,f7ca218939086d69d5e60bc9229391d5c2602ba73d84d819744a50c776ccb9e2,FreeType/TrueType,tt_cmap0_get_info,,,0x254458,0xd470,ida_named_non_elf,
tt_cmap10_char_index,0x261dcc,112,3a3fd68457888e9f2abf4f1b42d9e2eb851aa0332892db066ab35cde3e655c3c,FreeType/TrueType,tt_cmap10_char_index,,,0x25495c,0xd470,ida_named_non_elf,
tt_cmap10_char_next,0x261e3c,188,e371553c475871d0231da4abdb748527f20341f14b5f7a77f41baa8d19d3d944,FreeType/TrueType,tt_cmap10_char_next,,,0x2549cc,0xd470,ida_named_non_elf,
tt_cmap10_get_info,0x261ef8,56,1e3a58900f4fff1eb714328f6b58c10d7b8487d0e7480859d8c95bd64b97812c,FreeType/TrueType,tt_cmap10_get_info,,,0x254a88,0xd470,ida_named_non_elf,
tt_cmap12_char_index,0x2658a4,232,bd8d87d55fb54899ce7bcbc18fc0f65bb97c1d7c188fbfd312f3e627354ad9d6,FreeType/TrueType,tt_cmap12_char_index,,,0x258434,0xd470,ida_named_non_elf,
tt_cmap12_char_next,0x266aa0,912,e51c81df491ff365412b0b1b6a39e45d0353cdc00bea0ca0be8463a29980ecb8,FreeType/TrueType,tt_cmap12_char_next,,,0x259630,0xd470,ida_named_non_elf,
tt_cmap12_get_info,0x261f68,56,8f2f93807b381d7f4eaf096185cc334257793936d10b9ea56b3ce2bb2116c224,FreeType/TrueType,tt_cmap12_get_info,,,0x254af8,0xd470,ida_named_non_elf,
